anchor_word,word_length
plight,6
scanty,6
ghetto,6
decade,6
impede,6
access,6
rankle,6
abroad,6
tirade,6
bungle,6
abduct,6
divert,6
modify,6
leeway,6
barren,6
harbor,6
allege,6
dispel,6
haggle,6
tycoon,6
assert,6
marvel,6
memoir,6
appeal,6
elapse,6
assail,6
detect,6
ponder,6
compel,6
lethal,6
summit,6
badger,6
violate,7
citadel,7
fluster,7
acclaim,7
restore,7
appoint,7
inkling,7
degrade,7
jubilee,7
garland,7
precise,7
mission,7
anguish,7
horizon,7
procure,7
exhibit,7
languish,8
splendor,8
ceremony,8
guardian,8
intrigue,8
confront,8
prohibit,8
vanquish,8
impunity,8
pedestal,8
insulate,8
ultimate,8
simulate,8
garrison,8
resemble,8
sporadic,8
resource,8
velocity,8
epidemic,8
onslaught,9
obnoxious,9
originate,9
intervene,9
introduce,9
impromptu,9
reinforce,9
impartial,9
fluctuate,9
pseudonym,9
fantastic,9
ferocious,9
dumbfound,9
irascible,9
personable,10
capitulate,10
accelerate,10
vulnerable,10
dissension,10
contagious,10
subsequent,10
delectable,10
exaggerate,10
compromise,10
pestilence,10
proficient,10
fastidious,10
comprehend,10
distraught,10
interrogate,11
forbearance,11
susceptible,11
incredulous,11
